audio_path,transcription,speaker
dataset_fon\armandine\armandine_fongbe_corp005_020.wav,e ɖe dazɔmε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_021.wav,e gu we,armandine
dataset_fon\armandine\armandine_fongbe_corp005_022.wav,wa se gbe nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_023.wav,bo nukun mitɔn lε nɔ mɔ nu,armandine
dataset_fon\armandine\armandine_fongbe_corp005_024.wav,gadagada kpowun ɔ ayi jεn nyavi ɔ jε sin kεkε ji,armandine
dataset_fon\armandine\armandine_fongbe_corp005_025.wav,e kanbyɔ ɖɔ tɔ tɔn ɖo mɔto ace,armandine
dataset_fon\armandine\armandine_fongbe_corp005_026.wav,e kanbyɔ ye ɖɔ mεjitɔ yetɔn lε nɔ do fongbe aji,armandine
dataset_fon\armandine\armandine_fongbe_corp005_027.wav,sinnu gbla sin mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_028.wav,e su gbadanu,armandine
dataset_fon\armandine\armandine_fongbe_corp005_029.wav,ye ɖo na wa gbadanu,armandine
dataset_fon\armandine\armandine_fongbe_corp005_030.wav,zinflu do gɔɔn din,armandine
dataset_fon\armandine\armandine_fongbe_corp005_031.wav,e gbε ɖɔ vi tɔn ma yi azɔmε o,armandine
dataset_fon\armandine\armandine_fongbe_corp005_032.wav,gan ɔ ɖɔ nu gbaan,armandine
dataset_fon\armandine\armandine_fongbe_corp005_033.wav,gan ko xo xoxo,armandine
dataset_fon\armandine\armandine_fongbe_corp005_034.wav,lee gbɔn un blo mɔ ɖie,armandine
dataset_fon\armandine\armandine_fongbe_corp005_035.wav,ani gbe a tɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp005_036.wav,cakatu wε tɔn bɔ mi mɔ glo tɔn hla sɔ ε ɖu le ɔ mi mɔ a,armandine
dataset_fon\armandine\armandine_fongbe_corp005_037.wav,go sin fi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_038.wav,nu gugu nε a wa nε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_039.wav,woo gbε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_040.wav,jɔhɔn gugu ɖe nyi egbe zan mε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_041.wav,e fun funfun do ji ce,armandine
dataset_fon\armandine\armandine_fongbe_corp005_042.wav,e ɖo tavo ɔ glɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp005_043.wav,e ɖo wema towe gwlε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_044.wav,e ɖafɔ tɔn lε glɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp005_045.wav,e gan gan ɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp005_046.wav,e gan do ɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp005_047.wav,vi elɔ ɖo govi katoe,armandine
dataset_fon\armandine\armandine_fongbe_corp005_048.wav,e ɖo hun ɔ te gliwun,armandine
dataset_fon\armandine\armandine_fongbe_corp005_049.wav,e glo nu,armandine
dataset_fon\armandine\armandine_fongbe_corp005_050.wav,e gbingbɔn yovozεn,armandine
dataset_fon\armandine\armandine_fongbe_corp005_051.wav,e gbungbɔn klεn nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_052.wav,enε ɔ ko kpe a mε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_053.wav,e gbla nu mε nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_054.wav,lan xwe do geli nɔ xo amyɔsun a,armandine
dataset_fon\armandine\armandine_fongbe_corp005_055.wav,gɔ na tɔn lo,armandine
dataset_fon\armandine\armandine_fongbe_corp005_056.wav,gbεgɔnu wε nu hwε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_057.wav,ye sa vo nu tɔ ce gbɔ ji ce,armandine
dataset_fon\armandine\armandine_fongbe_corp005_058.wav,un ɖo mawu gbe xo wε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_059.wav,jaan ɖo tavo ɔ ji,armandine
dataset_fon\armandine\armandine_fongbe_corp005_060.wav,e fyan mε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_061.wav,e gbo mi do ɖo xwe gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp005_062.wav,ji gbo mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_063.wav,e fyan mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_064.wav,e na wa fyan we,armandine
dataset_fon\armandine\armandine_fongbe_corp005_065.wav,e ku fyan mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_066.wav,ma nu xo towe gba gba o,armandine
dataset_fon\armandine\armandine_fongbe_corp005_067.wav,do kokwe kan sɔ nyi gblεlε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_001.wav,e jε gun,armandine
dataset_fon\armandine\armandine_fongbe_corp006_002.wav,mi ɖo gbesugbesɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp006_003.wav,hlunhlun gbε ɖo fi din,armandine
dataset_fon\armandine\armandine_fongbe_corp006_004.wav,ye jε tagba glolo,armandine
dataset_fon\armandine\armandine_fongbe_corp006_005.wav,nyε wε a xo,armandine
dataset_fon\armandine\armandine_fongbe_corp006_006.wav,un ɖo xo ɖɔ nu we wε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_007.wav,azɔwiwa kpo xoɖiɖɔ kpo ɔ ye ɖo ganmεganmε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_008.wav,gbe tε nε ɖɔ wε mi ɖe nε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_009.wav,hεn dεdε e nɔ ba gidigidi a,armandine
dataset_fon\armandine\armandine_fongbe_corp006_010.wav,e gblɔ sin nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp006_011.wav,atin ce wini hu towe,armandine
dataset_fon\armandine\armandine_fongbe_corp006_012.wav,e da tu gbla,armandine
dataset_fon\armandine\armandine_fongbe_corp006_013.wav,e da tu gbaan,armandine
dataset_fon\armandine\armandine_fongbe_corp006_014.wav,e da tu gbɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp006_015.wav,e gan,armandine
dataset_fon\armandine\armandine_fongbe_corp006_016.wav,e nu ahan mu bo nɔ dan gɔgɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp006_017.wav,hwi wε ɖɔ xo,armandine
dataset_fon\armandine\armandine_fongbe_corp006_018.wav,un wa gɔn towe,armandine
dataset_fon\armandine\armandine_fongbe_corp006_019.wav,e jayi gbli,armandine
dataset_fon\armandine\armandine_fongbe_corp006_020.wav,e jayi gbiwun,armandine
dataset_fon\armandine\armandine_fongbe_corp006_021.wav,nawe elɔ jε gbε ɖo mεmε bi bo sɔ ɖo nuɖe a,armandine
dataset_fon\armandine\armandine_fongbe_corp006_022.wav,gbadεndεn ɖo funfun wε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_023.wav,hwi wu wε vi ɔ jayi,armandine
dataset_fon\armandine\armandine_fongbe_corp006_024.wav,ahun fun,armandine
dataset_fon\armandine\armandine_fongbe_corp006_025.wav,gan jayi ma bε gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp006_026.wav,e nɔ glɔn ji,armandine
dataset_fon\armandine\armandine_fongbe_corp006_027.wav,badagla jayi ɔ gba jεn nɔ gba,armandine
dataset_fon\armandine\armandine_fongbe_corp006_028.wav,nu ɔ ɖie tɔ gε do ji tɔn e,armandine
dataset_fon\armandine\armandine_fongbe_corp006_029.wav,e hεn alin ɔ gɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp006_030.wav,atin gɔndɔngɔndɔn ji e nɔ gbɔn bo nɔ yi ɖiɖi ɔ ji,armandine
dataset_fon\armandine\armandine_fongbe_corp006_031.wav,xɔ gban ɔ amlɔ nɔ gban a,armandine
dataset_fon\armandine\armandine_fongbe_corp006_032.wav,do nε ɔ gbandaan,armandine
dataset_fon\armandine\armandine_fongbe_corp006_033.wav,e hεn gan ɔ gɔndɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp006_034.wav,e dɔn kan ɔ fyɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp006_035.wav,ali nε ɔ gεdε din,armandine
dataset_fon\armandine\armandine_fongbe_corp006_036.wav,ayi tɔn gεdε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_037.wav,afɔ tɔn gεdε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_038.wav,e gble gba,armandine
dataset_fon\armandine\armandine_fongbe_corp006_039.wav,e xa gwe,armandine
dataset_fon\armandine\armandine_fongbe_corp006_040.wav,e do gudo mi,armandine
dataset_fon\armandine\armandine_fongbe_corp006_041.wav,ye bi fɔn ganji,armandine
dataset_fon\armandine\armandine_fongbe_corp006_042.wav,un ɖu nu ɖebu a,armandine
dataset_fon\armandine\armandine_fongbe_corp006_043.wav,ye ɖo mɔɖɔ gbo wε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_044.wav,a ɖo nyε zun wε,armandine
dataset_fon\armandine\armandine_fongbe_corp006_045.wav,gbεnu wε gbo we,armandine
dataset_fon\armandine\armandine_fongbe_corp006_046.wav,gbɔ nu mi xwii,armandine
dataset_fon\armandine\armandine_fongbe_corp006_047.wav,e nɔ xo su a,armandine
dataset_fon\armandine\armandine_fongbe_corp006_048.wav,nε azɔ towe ɖe gbɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp006_049.wav,un wazɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp006_050.wav,e gɔn azɔ wa,armandine
dataset_fon\armandine\armandine_fongbe_corp006_051.wav,e wazɔ ganji a wε a,armandine
dataset_fon\armandine\armandine_fongbe_corp006_052.wav,e ɖazɔ wa wε myamya,armandine
dataset_fon\armandine\armandine_fongbe_corp006_053.wav,e wu fun gbɔn fi bi,armandine
dataset_fon\armandine\armandine_fongbe_corp006_054.wav,kan ɖe ɔ ɖi ga ɖesu,armandine
dataset_fon\armandine\armandine_fongbe_corp006_055.wav,a ɖɔ xo gbɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp006_056.wav,e hun myɔ gaɖagaɖa,armandine
dataset_fon\armandine\armandine_fongbe_corp006_057.wav,sin sukpɔ ɖo nusunnu ɔ ji gboo,armandine
dataset_fon\armandine\armandine_fongbe_corp006_058.wav,a nɔ fun mε din,armandine
dataset_fon\armandine\armandine_fongbe_corp006_059.wav,nukun ce gba zin,armandine
dataset_fon\armandine\armandine_fongbe_corp006_060.wav,ayi tɔn bi gba do,armandine
dataset_fon\armandine\armandine_fongbe_corp006_061.wav,un mɔ ajijakuzεn ɖokpo bε wlo eɖee bo ci gbloboetwe,armandine
dataset_fon\armandine\armandine_fongbe_corp006_062.wav,a na sixu mɔ gbadamaja klewun ɖe ɖo finε ma ɖu a,armandine
dataset_fon\armandine\armandine_fongbe_corp006_063.wav,gεnnu mɔ lisε glo e kε ɔ mi na kpe,armandine
dataset_fon\armandine\armandine_fongbe_corp006_064.wav,dawe gεgε ɖe wa ba we kpo,armandine
dataset_fon\armandine\armandine_fongbe_corp006_065.wav,asi nabi wε a ɖo,armandine
dataset_fon\armandine\armandine_fongbe_corp006_066.wav,sin gannaganna ɔ bese wε e nɔ hu,armandine
dataset_fon\armandine\armandine_fongbe_corp006_067.wav,e hu eɖee,armandine
dataset_fon\armandine\armandine_fongbe_corp007_001.wav,e ge azɔ tɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp007_002.wav,atin ɔ nɔ dan ginnyaa,armandine
dataset_fon\armandine\armandine_fongbe_corp007_003.wav,go ji,armandine
dataset_fon\armandine\armandine_fongbe_corp007_004.wav,e ɖo do,armandine
dataset_fon\armandine\armandine_fongbe_corp007_005.wav,gbεtɔ vi jεn e nɔ xo mɔ a,armandine
dataset_fon\armandine\armandine_fongbe_corp007_006.wav,kpakpa ɔ xo awa gbagba bo yi,armandine
dataset_fon\armandine\armandine_fongbe_corp007_007.wav,un ɖu gan ni ɖo wezun mε,armandine
dataset_fon\armandine\armandine_fongbe_corp007_008.wav,gbεmε nyɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp007_009.wav,e vivi ɖo gbεmε,armandine
dataset_fon\armandine\armandine_fongbe_corp007_010.wav,vi lɔ nyɔ ɖεkpε,armandine
dataset_fon\armandine\armandine_fongbe_corp007_011.wav,e gbogbo,armandine
dataset_fon\armandine\armandine_fongbe_corp007_012.wav,awu ce gege ɖe lε kwiji bɔ un jlo na nya,armandine
dataset_fon\armandine\armandine_fongbe_corp007_013.wav,xo ɔ gege,armandine
dataset_fon\armandine\armandine_fongbe_corp007_014.wav,e su kpɔ din,armandine
dataset_fon\armandine\armandine_fongbe_corp007_015.wav,azɔ ɔ gege ɖasi ce,armandine
dataset_fon\armandine\armandine_fongbe_corp007_016.wav,a wa nu ɖesu,armandine
dataset_fon\armandine\armandine_fongbe_corp007_017.wav,e nɔ kpɔn nu gbɔɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp007_018.wav,un ɖo gewungewun,armandine
dataset_fon\armandine\armandine_fongbe_corp007_019.wav,lee a wazɔ ganji ɔ a na ɖakwε gege,armandine
dataset_fon\armandine\armandine_fongbe_corp007_020.wav,e ɖo ɖagbe a,armandine
dataset_fon\armandine\armandine_fongbe_corp007_021.wav,e ɖo ganji,armandine
dataset_fon\armandine\armandine_fongbe_corp007_022.wav,un ɖo ɖagbe,armandine
dataset_fon\armandine\armandine_fongbe_corp007_023.wav,un do ɖagbe,armandine
dataset_fon\armandine\armandine_fongbe_corp007_024.wav,e nɔ zaan ɔ un na yi,armandine
dataset_fon\armandine\armandine_fongbe_corp007_025.wav,e nɔ kεya nu gbεtɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp007_026.wav,e gble wu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp007_027.wav,un gble wu gbε ce do ta,armandine
dataset_fon\armandine\armandine_fongbe_corp007_028.wav,un gble wu dafɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp007_029.wav,e gba nyɔmε,armandine
dataset_fon\armandine\armandine_fongbe_corp007_030.wav,xo e ɖɔ ɔ ji go nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp007_031.wav,xε we nɔ nu sin ɖo goli mε a bε na jan,armandine
dataset_fon\armandine\armandine_fongbe_corp007_032.wav,un nɔ nu soɖabi kpodo bya kpan a,armandine
dataset_fon\armandine\armandine_fongbe_corp007_033.wav,un nu sin vɔvɔ a,armandine
dataset_fon\armandine\armandine_fongbe_corp007_034.wav,kaka yi fi e gbε kpo nu ɖo le,armandine
dataset_fon\armandine\armandine_fongbe_corp007_035.wav,e yi alito,armandine
dataset_fon\armandine\armandine_fongbe_corp007_036.wav,xo tɔn mε nɔ fyɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp007_037.wav,e nya glo mi,armandine
dataset_fon\armandine\armandine_fongbe_corp007_038.wav,nu gbε do mi,armandine
dataset_fon\armandine\armandine_fongbe_corp007_039.wav,un ɖo gbo do nu awu ce wε,armandine
dataset_fon\armandine\armandine_fongbe_corp007_040.wav,gbo do glii tεn,armandine
dataset_fon\armandine\armandine_fongbe_corp007_041.wav,un ɖo kεn xa mε bɔ un ko gbɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp007_042.wav,un nɔ mɔ nɔvi ce gbɔ a,armandine
dataset_fon\armandine\armandine_fongbe_corp007_043.wav,e fun,armandine
dataset_fon\armandine\armandine_fongbe_corp007_044.wav,e su hɔn glawun,armandine
dataset_fon\armandine\armandine_fongbe_corp007_045.wav,ye ɖo ingidi ji guwun,armandine
dataset_fon\armandine\armandine_fongbe_corp007_046.wav,nε a mε gbɔ gbɔn bɔ fun kpoo d e wu,armandine
dataset_fon\armandine\armandine_fongbe_corp007_047.wav,amasin elɔ nɔ fyɔ ɖakpa mε,armandine
dataset_fon\armandine\armandine_fongbe_corp007_048.wav,wɔ ɔ fyɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp007_049.wav,nukun ce nɔ fyε,armandine
dataset_fon\armandine\armandine_fongbe_corp007_050.wav,vi ɔ fɔn gajawun sin amlɔ mε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_001.wav,e nɔ gba nu nu xo a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_002.wav,gbɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_003.wav,gbɔ se a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_004.wav,e yi azɔmε a ɖo ji ja,armandine
dataset_fon\armandine\armandine_fongbe_corp009_005.wav,mεɖe do gesi wema,armandine
dataset_fon\armandine\armandine_fongbe_corp009_006.wav,e hεn agban ɔ gba,armandine
dataset_fon\armandine\armandine_fongbe_corp009_007.wav,a na yi tɔ co bo gba zεn a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_008.wav,xomε ce gba wɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_009.wav,xo ɔ gba tamε ni,armandine
dataset_fon\armandine\armandine_fongbe_corp009_010.wav,ajotɔ elɔ nɔ hu mε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_011.wav,un sixu xa wema elɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_012.wav,wema tɔn ɖie a mε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_013.wav,agoo agoo mi na mi ali nu ma din,armandine
dataset_fon\armandine\armandine_fongbe_corp009_014.wav,mɔ wε a jɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_015.wav,e jεn nε gεgε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_016.wav,e ɖo na ɖɔ mɔ a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_017.wav,enε nyɔ ɖεkpε hu elɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_018.wav,bayi sa akpan kpɔnwun εnε nu ni,armandine
dataset_fon\armandine\armandine_fongbe_corp009_019.wav,un ɖu sεn san do we,armandine
dataset_fon\armandine\armandine_fongbe_corp009_020.wav,e xa glagada e nɔ xa godwe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_021.wav,azɔmεvi ɖe lε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_022.wav,e gbɔ nu ɖu,armandine
dataset_fon\armandine\armandine_fongbe_corp009_023.wav,e gɔn xo ɖɔ a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_024.wav,mε tɔn wε nyi agbade gle elɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_025.wav,eye wε ji han,armandine
dataset_fon\armandine\armandine_fongbe_corp009_026.wav,mεjitɔ ɖokpo ɖokpo,armandine
dataset_fon\armandine\armandine_fongbe_corp009_027.wav,kanlin e ma ɖo si a ɔ gbε wε nɔ nya sukpɔ ni,armandine
dataset_fon\armandine\armandine_fongbe_corp009_028.wav,e fun i do gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_029.wav,vi ɔ sin wutu hun myɔ gbogbogbo,armandine
dataset_fon\armandine\armandine_fongbe_corp009_030.wav,wutu ce gblɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_031.wav,e gblɔ mi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_032.wav,mε wε nyi gan ɖo fi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_033.wav,e ɖu gan ɖo savi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_034.wav,to tε mε e ɖu gan ɖe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_035.wav,un tɔn gbe towe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_036.wav,vi ce sin gingan ba wε un ɖe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_037.wav,gan ɖe ba nyi hun e yi fle mε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_038.wav,un xwe nɔ ce gɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp009_039.wav,nε e nɔ wa xwe towe gbe gbɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp009_040.wav,un nɔ yi gɔn tɔn ɖayi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_041.wav,nu yε nyɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_042.wav,ye ɖo na tuun nu elɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_043.wav,e na gbo ada ni,armandine
dataset_fon\armandine\armandine_fongbe_corp009_044.wav,e dan gbɔn fi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_045.wav,e ɖo gaan,armandine
dataset_fon\armandine\armandine_fongbe_corp009_046.wav,sin ɔ zawe bi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_047.wav,gbe tɔn zin,armandine
dataset_fon\armandine\armandine_fongbe_corp009_048.wav,e gba ta do do wu giwun,armandine
dataset_fon\armandine\armandine_fongbe_corp009_049.wav,e gba ta do do wu gawun,armandine
dataset_fon\armandine\armandine_fongbe_corp009_050.wav,ɖablatɔ wε nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_051.wav,e ɖo gogwe mε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_052.wav,xo tɔn mε gble,armandine
dataset_fon\armandine\armandine_fongbe_corp009_053.wav,wɔxuxu nabi gbe ɖie wɔxuxu ɖɔla wewe gbe wε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_054.wav,vi nabi wε ɖo xwe ɔ gbe tawun,armandine
dataset_fon\armandine\armandine_fongbe_corp009_055.wav,mε e gɔn wε un ɖe ɔ wε zɔn nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_056.wav,e do wezun hu azwi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_057.wav,zan ja kuku gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_058.wav,sin ɔ ko fyε a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_059.wav,un nyi ajotɔ ɖayi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_060.wav,un nyi ajotɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_061.wav,e dafɔ gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_062.wav,gbε ce wε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_063.wav,vi ɔ fun bi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_064.wav,un gɔ xo gedegede,armandine
dataset_fon\armandine\armandine_fongbe_corp009_065.wav,e jε gomε ni kaka bo ɖyɔ ε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_066.wav,a na sɔ gi gɔ na,armandine
dataset_fon\armandine\armandine_fongbe_corp009_067.wav,e gεdε xo ɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_068.wav,e bla axɔsu tɔn gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_069.wav,jezu kεntɔ lε bla gbe tɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp009_070.wav,ye ɖo gbe ce bla wε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_071.wav,e ma se fɔngbe nε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_072.wav,andre a se fɔngbe a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_073.wav,xa mε yε nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_074.wav,ma gan jε wu ce o,armandine
dataset_fon\armandine\armandine_fongbe_corp009_075.wav,mi ma gble hwε do ta nu mε ɖe o,armandine
dataset_fon\armandine\armandine_fongbe_corp009_076.wav,ye ma nyɔ kεkε do gε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_077.wav,mi gbadɔ ɖɔ mi na yi nuɖiɖi mitɔn sin ajɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_078.wav,e gbo adɔ do wu ce,armandine
dataset_fon\armandine\armandine_fongbe_corp009_079.wav,un ɖo gbɔjε mε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_080.wav,e na mi gbɔjε nu azan tantɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp009_081.wav,a tuun bεεlεn wε a,armandine
dataset_fon\armandine\armandine_fongbe_corp009_082.wav,un tuun i,armandine
dataset_fon\armandine\armandine_fongbe_corp009_083.wav,e yi ku gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_084.wav,e yi gbe nu ku,armandine
dataset_fon\armandine\armandine_fongbe_corp009_085.wav,un gba xɔ ni,armandine
dataset_fon\armandine\armandine_fongbe_corp009_086.wav,e kan gunmagan ni,armandine
dataset_fon\armandine\armandine_fongbe_corp009_087.wav,ye nyahwan gugu wa ja nu e jε ɔ kpɔn gbe,armandine
dataset_fon\armandine\armandine_fongbe_corp009_088.wav,e glɔn jɔhɔn nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp009_089.wav,e ɖo togbesɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_090.wav,mawu gbεnɔ na jlo bɔ nu e lin un ɖe ɔ na jlɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_091.wav,nana tɔ bowunba kɔmε gblayaa ɖokpo,armandine
dataset_fon\armandine\armandine_fongbe_corp009_092.wav,e jε atan mε ɔ e nɔ jε gba mε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_093.wav,kan ɔ gbo,armandine
dataset_fon\armandine\armandine_fongbe_corp009_094.wav,e sεn ta nu atin lε bi do gligli ji,armandine
dataset_fon\armandine\armandine_fongbe_corp009_095.wav,sεn ε,armandine
dataset_fon\armandine\armandine_fongbe_corp009_096.wav,nya elɔ gla,armandine
dataset_fon\armandine\armandine_fongbe_corp009_097.wav,alɔ ce gɔdɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp009_098.wav,ma dan gblagbla o,armandine
dataset_fon\armandine\armandine_fongbe_corp009_099.wav,kanlin lε bi ɖo wezun do wε gbligbli,armandine
dataset_fon\armandine\armandine_fongbe_corp009_100.wav,gbεmε hɔn a,armandine
